data.id,data.iata_type,data.airplane_id,data.airline_iata_code,data.iata_code_long,data.iata_code_short,data.airline_icao_code,data.construction_number,data.delivery_date,data.engines_count,data.engines_type,data.first_flight_date,data.icao_code_hex,data.line_number,data.model_code,data.registration_number,data.test_registration_number,data.plane_age,data.plane_class,data.model_name,data.plane_owner,data.plane_series,data.plane_status,data.production_line,data.registration_date,data.rollout_date
4258228,"CL-600-2B19",43,"2B","CRJ2","CR2","","7689",2002-10-11 00:00:00.000,2,"JET","2002-09-25T22:00:00.000Z","42453E",,"CRJ200ER","VQ-BOP","",15,,"Regional-Jet","","200ER","inactive","Bombardier CRJ-100/2","2000-11-09T23:00:00.000Z","2000-02-08T23:00:00.000Z"
4258229,"CL-600-2B19",44,"2B","CRJ2","CR2","","7613",2002-01-31 00:00:00.000,2,"JET","2000-01-31T23:00:00.000Z","42453D",,"CRJ200ER","VQ-BOQ","",17,,"Regional-Jet","","200ER","active","Bombardier CRJ-100/2","2011-11-13T23:00:00.000Z","2000-01-31T23:00:00.000Z"
4258230,"CL-600-2B19",45,"2B","CRJ2","CR2","","7535",2001-07-25 00:00:00.000,2,"JET","2001-07-15T22:00:00.000Z","42453C",,"CRJ200ER","VQ-BOR","",16,,"Regional-Jet","","200ER","active","Bombardier CRJ-100/2","2012-07-08T22:00:00.000Z","2000-01-06T23:00:00.000Z"
4258231,"CL-600-2B19",46,"2B","CRJ2","CR2","","7414",2000-07-11 00:00:00.000,2,"JET","0000-00-00","42453B",,"CRJ200ER","VQ-BOT","",2016,,"Regional-Jet","US Bank NA Trustee","200ER","active","Bombardier CRJ-100/2","2012-01-08T23:00:00.000Z","0000-00-00"
4258232,"CL-600-2B19",47,"2B","CRJ2","CR2","","7313",1999-05-13 00:00:00.000,2,"JET","1999-05-01T22:00:00.000Z","424542",,"CRJ200ER","VQ-BOU","",18,,"Regional-Jet","US Bank NA Trustee","200ER","inactive","Bombardier CRJ-100/2","2011-11-27T23:00:00.000Z","0000-00-00"
4258233,"An-148",48,"2G","A148","A81","","Unknown",2012-11-08 00:00:00.000,2,"JET","2011-10-03T22:00:00.000Z","14F10F",,"An-148-100E","RA-61711","",6,,"An-148","","100E","active","Antonov 148","",""
4258234,"An-148",49,"2G","A148","A81","","Unknown",2012-10-29 00:00:00.000,2,"JET","2012-03-21T23:00:00.000Z","14F111",,"An-148-100E","RA-61713","",5,,"An-148","","100E","active","Antonov 148","",""
4258235,"An-148",50,"2G","A148","A81","","Unknown",2012-11-28 00:00:00.000,2,"JET","2012-09-10T22:00:00.000Z","14F112",,"An-148-100E","RA-61714","",5,,"An-148","","100V","active","Antonov 148","",""
4258238,"EMB170-100",53,"2J","E170","E70","","17000023",2004-03-05 00:00:00.000,2,"JET","2000-04-01T22:00:00.000Z","09C028",,"EMB 170-100STD","XT-ABT","",17,,"Emb-170","","100ST","active","Embraer EMB-170/EMB-","2015-04-29T22:00:00.000Z","2000-04-01T22:00:00.000Z"
4258239,"F28 MK0100",54,"2L","F100","100","","11501",1994-03-03 00:00:00.000,2,"JET","1994-02-20T23:00:00.000Z","4B19E8",,"F100","HB-JVC","PH-EZM",23,,"F-100","","","active","Fokker 28/70/100","2004-02-19T23:00:00.000Z","0000-00-00"
4258240,"F28 MK0100",55,"2L","F100","100","","11459",1993-06-30 00:00:00.000,2,"JET","1993-05-31T22:00:00.000Z","4B19EA",,"F100","HB-JVE","PH-EZD",24,1,"F-100","","","active","Fokker 28/70/100","2004-05-11T22:00:00.000Z","0000-00-00"
4258241,"F28 MK0100",56,"2L","F100","100","","11466",1993-08-11 00:00:00.000,2,"JET","1993-07-12T22:00:00.000Z","4B19EB",,"F100","HB-JVF","PH-EZK",24,1,"F-100","","","active","Fokker 28/70/100","2004-06-21T22:00:00.000Z","0000-00-00"
4258242,"F28 MK0100",57,"2L","F100","100","","11478",1993-10-25 01:00:00.000,2,"JET","1993-09-28T23:00:00.000Z","4B19EC",,"F100","HB-JVG","PH-EZA",24,1,"F-100","","","active","Fokker 28/70/100","2004-09-21T22:00:00.000Z","0000-00-00"
4258243,"F28 MK0100",58,"2L","F100","100","","11324",1991-06-25 00:00:00.000,2,"JET","1991-01-17T23:00:00.000Z","4B19ED",,"F100","HB-JVH","PH-EZG",26,1,"F-100","","","active","Fokker 28/70/100","2010-06-13T22:00:00.000Z","0000-00-00"
4258244,"A319-100",59,"2L","A319","319","","1886",2003-01-30 00:00:00.000,2,"JET","2003-01-15T23:00:00.000Z","4B19F0",,"A319-112","HB-JVK","D-AVWB",14,,"A319","GECAS","112","active","Airbus A318/A319/A32","2013-05-06T22:00:00.000Z","2000-02-29T23:00:00.000Z"
4258245,"EMB190-100",60,"2L","E190","E90","","19000354",2010-05-14 00:00:00.000,2,"JET","2000-10-03T22:00:00.000Z","4B19F1",,"EMB 190-100LR","HB-JVL","",17,1,"Emb-190","","100LR","active","Embraer EMB-190/EMB-","2014-12-17T23:00:00.000Z","2000-10-03T22:00:00.000Z"
4258246,"EMB190-100",61,"2L","E190","E90","","19000349",2010-05-12 00:00:00.000,2,"JET","2000-10-03T22:00:00.000Z","4B19F2",,"EMB 190-100LR","HB-JVM","",17,1,"Emb-190","Bernina Aircraft Leasing","100LR","active","Embraer EMB-190/EMB-","2015-01-27T23:00:00.000Z","2000-10-03T22:00:00.000Z"
4258247,"EMB190-100",62,"2L","E190","E90","","19000285",2009-05-14 00:00:00.000,2,"JET","2000-09-04T22:00:00.000Z","4B19F3",,"EMB 190-100LR","HB-JVN","",17,,"Emb-190","","100LR","active","Embraer EMB-190/EMB-","0000-00-00","2000-09-03T22:00:00.000Z"
