data.id,data.gmt,data.city_id,data.iata_code,data.country_iso2,data.geoname_id,data.latitude,data.longitude,data.city_name,data.timezone
2098940,-5,60,"ACL","CO",,4.75,-73,"Aguaclara","America/Bogota"
2098941,-5,61,"ACM","CO",,-2,-71.833336,"Arica","America/Bogota"
2098942,-6,62,"ACN","MX",3992619,29.3,-100.916664,"Acuna","America/Matamoros"
2098943,3,63,"ACP","IR",,37.347244,46.145115,"Sahand","Asia/Tehran"
2098944,-5,64,"ACR","CO",,-0.383333,-72.3,"Araracuara","America/Bogota"
2098945,7,65,"ACS","RU",,56.266666,90.566666,"Achinsk","Asia/Krasnoyarsk"
2098946,-6,66,"ACT","US",4739526,31.549333,-97.14667,"Waco","America/Chicago"
2098947,-5,67,"ACU","PA",,9.576389,-79.72444,"Achutupo","America/Panama"
2098948,-8,68,"ACV","US",5558953,40.970913,-124.106926,"Arcata","America/Los_Angeles"
2098949,8,69,"ACX","CN",,25.085556,104.95944,"Xingyi","Asia/Shanghai"
2098950,3,70,"ACZ","IR",,31.087694,61.542244,"Zabol","Asia/Tehran"
2098951,3,71,"ADA","TR",325363,37,35.321333,"Adana","Europe/Istanbul"
2098952,10,72,"ADC","PG",2100827,-7.133333,145.73334,"Andakombe","Pacific/Port_Moresby"
2098953,3,73,"ADD","ET",344979,8.983759,38.7959,"Addis Ababa","Africa/Addis_Ababa"
2098954,3,74,"ADE","YE",415189,12.826116,45.037537,"Aden","Asia/Aden"
2098955,3,75,"ADF","TR",325330,37.75,38.266666,"Adiyaman","Europe/Istanbul"
2098956,-5,76,"ADG","US",4917712,41.9,-84.03333,"Adrian","America/Indiana/Indianapolis"
2098957,9,77,"ADH","RU",,58.6,125.4,"Aldan","Asia/Yakutsk"
2098958,2,78,"ADI","NA",3352844,-22.4,15,"Arandis","Africa/Windhoek"
2098959,-10,79,"ADK","US",,51.88278,-176.64473,"Adak Island","America/Adak"
2098960,9,80,"ADL","AU",2078025,-34.928621,138.599959,"Adelaide","Australia/Adelaide"
2098961,-6,81,"ADM","US",4529469,34.303055,-97.01945,"Ardmore","America/Chicago"
2098962,-5,82,"ADN","CO",3674962,5.666667,-75.933334,"Andes","America/Bogota"
2098963,9,83,"ADO","AU",,-31.016666,137.15,"Andamooka","Australia/Adelaide"
2098964,5,84,"ADP","LK",1251081,7.336389,81.625275,"Ampara","Asia/Colombo"
