flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.delay,arrival.scheduled,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,flight.codeshared
29/12/2024,scheduled,,,Brisbane International,Australia/Brisbane,BNE,YBBN,D,23,,2024-12-29T06:05:00+00:00,2024-12-29T06:05:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,3,,,,2024-12-29T08:40:00+00:00,2024-12-29T08:40:00+00:00,,,,LATAM Airlines,LA,LAN,4800,LA4800,LAN4800,qantas,qf,qfa,505,qf505,qfa505,
29/12/2024,scheduled,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,2,41,,2024-12-29T08:00:00+00:00,2024-12-29T08:00:00+00:00,,,,Brisbane International,Australia/Brisbane,BNE,YBBN,D,45,D06,,2024-12-29T08:30:00+00:00,2024-12-29T08:30:00+00:00,,,,Etihad Airways,EY,ETD,6793,EY6793,ETD6793,virgin australia,va,voz,917,va917,voz917,
29/12/2024,scheduled,,,Christchurch International,Pacific/Auckland,CHC,NZCH,,D19,,2024-12-29T10:00:00+00:00,2024-12-29T10:00:00+00:00,,,,Auckland International,Pacific/Auckland,AKL,NZAA,D,32,DTB2,,2024-12-29T11:25:00+00:00,2024-12-29T11:25:00+00:00,,,,EVA Air,BR,EVA,3244,BR3244,EVA3244,air new zealand,nz,anz,580,nz580,anz580,
29/12/2024,scheduled,,,Nadi International,Pacific/Fiji,NAN,NFFN,,,,2024-12-29T08:15:00+00:00,2024-12-29T08:15:00+00:00,,,,Brisbane International,Australia/Brisbane,BNE,YBBN,I,84,I02,,2024-12-29T10:20:00+00:00,2024-12-29T10:20:00+00:00,,,,Qantas,QF,QFA,3872,QF3872,QFA3872,fiji airways,fj,fji,921,fj921,fji921,
29/12/2024,scheduled,,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,3,6,,2024-12-29T06:00:00+00:00,2024-12-29T06:00:00+00:00,,,,Gold Coast (coolangatta),Australia/Brisbane,OOL,YBCG,1,21,,,2024-12-29T07:10:00+00:00,2024-12-29T07:10:00+00:00,,,,Virgin Australia,VA,VOZ,725,VA725,VOZ725,,,,,,,
29/12/2024,scheduled,,,Christchurch International,Pacific/Auckland,CHC,NZCH,,D21,,2024-12-29T09:40:00+00:00,2024-12-29T09:40:00+00:00,,,,Auckland International,Pacific/Auckland,AKL,NZAA,D,,DTB1,,2024-12-29T11:00:00+00:00,2024-12-29T11:00:00+00:00,,,,Qantas,QF,QFA,4992,QF4992,QFA4992,jetstar,jq,jst,232,jq232,jst232,
29/12/2024,scheduled,,,Bandaranaike International,Asia/Colombo,CMB,VCBI,,,,2024-12-29T01:15:00+00:00,2024-12-29T01:15:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,23,,2024-12-29T06:20:00+00:00,2024-12-29T06:20:00+00:00,,,,Myanmar Airways International,8M,MMA,5402,8M5402,MMA5402,srilankan airlines,ul,alk,402,ul402,alk402,
29/12/2024,scheduled,,,Bandaranaike International,Asia/Colombo,CMB,VCBI,,,,2024-12-29T01:15:00+00:00,2024-12-29T01:15:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,23,,2024-12-29T06:20:00+00:00,2024-12-29T06:20:00+00:00,,,,Finnair,AY,FIN,6646,AY6646,FIN6646,srilankan airlines,ul,alk,402,ul402,alk402,
29/12/2024,scheduled,,,Bandaranaike International,Asia/Colombo,CMB,VCBI,,,,2024-12-29T01:15:00+00:00,2024-12-29T01:15:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,23,,2024-12-29T06:20:00+00:00,2024-12-29T06:20:00+00:00,,,,Jet Linx Aviation,JL,JTL,5705,JL5705,JTL5705,srilankan airlines,ul,alk,402,ul402,alk402,
29/12/2024,scheduled,,,Brisbane International,Australia/Brisbane,BNE,YBBN,D,23,,2024-12-29T06:05:00+00:00,2024-12-29T06:05:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,3,,,,2024-12-29T08:40:00+00:00,2024-12-29T08:40:00+00:00,,,,Air New Zealand,NZ,ANZ,1705,NZ1705,ANZ1705,qantas,qf,qfa,505,qf505,qfa505,
29/12/2024,scheduled,,,Bole International,Africa/Addis_Ababa,ADD,HAAB,2,,,2024-12-29T00:20:00+00:00,2024-12-29T00:20:00+00:00,,,,Milano Malpensa,Europe/Rome,MXP,LIMC,1,,,,2024-12-29T05:20:00+00:00,2024-12-29T05:20:00+00:00,,,,Air Europa,UX,AEA,3021,UX3021,AEA3021,ethiopian airlines,et,eth,736,et736,eth736,
29/12/2024,scheduled,,,Lohegaon,Asia/Kolkata,PNQ,VAPO,,,,2024-12-29T00:10:00+00:00,2024-12-29T00:10:00+00:00,,,,Hyderabad Airport,Asia/Kolkata,HYD,VOHS,TM,,8,,2024-12-29T01:25:00+00:00,2024-12-29T01:25:00+00:00,,,,IndiGo,6E,IGO,336,6E336,IGO336,,,,,,,
29/12/2024,scheduled,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,,,,2024-12-29T03:55:00+00:00,2024-12-29T03:55:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,3,,,,2024-12-29T05:50:00+00:00,2024-12-29T05:50:00+00:00,,,,SF Airlines,O3,CSS,7239,O37239,CSS7239,,,,,,,
29/12/2024,scheduled,,,Bandaranaike International,Asia/Colombo,CMB,VCBI,,,,2024-12-29T01:15:00+00:00,2024-12-29T01:15:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,23,,2024-12-29T06:20:00+00:00,2024-12-29T06:20:00+00:00,,,,SriLankan Airlines,UL,ALK,402,UL402,ALK402,,,,,,,
29/12/2024,scheduled,,,Osh International Airport,Asia/Bishkek,OSS,UCFO,,,,2024-12-29T04:05:00+00:00,2024-12-29T04:05:00+00:00,,,,Pulkovo,Europe/Moscow,LED,ULLI,1,,,,2024-12-29T06:35:00+00:00,2024-12-29T06:35:00+00:00,,,,Ural Airlines,U6,SVR,2734,U62734,SVR2734,,,,,,,
29/12/2024,scheduled,,,Beijing Daxing International Airport,8,PKX,ZBAD,,,,2024-12-29T02:00:00+00:00,2024-12-29T02:00:00+00:00,,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,,2024-12-29T05:05:00+00:00,2024-12-29T05:05:00+00:00,,,,JDL Airlines,JG,JDL,2645,JG2645,JDL2645,,,,,,,
29/12/2024,scheduled,,,Mactan-Cebu International,Asia/Manila,CEB,RPVM,2,,20,2024-12-29T01:50:00+00:00,2024-12-29T01:50:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,1,,,,2024-12-29T07:10:00+00:00,2024-12-29T07:10:00+00:00,,,,Asiana Airlines,OZ,AAR,710,OZ710,AAR710,,,,,,,
29/12/2024,scheduled,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,,,,2024-12-29T03:50:00+00:00,2024-12-29T03:50:00+00:00,,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,,,,,2024-12-29T06:15:00+00:00,2024-12-29T06:15:00+00:00,,,,JDL Airlines,JG,JDL,2620,JG2620,JDL2620,,,,,,,
29/12/2024,scheduled,,,Taiwan Taoyuan International (Chiang Kai Shek International),Asia/Taipei,TPE,RCTP,1,11,,2024-12-29T01:55:00+00:00,2024-12-29T01:55:00+00:00,,,,Daegu,Asia/Seoul,TAE,RKTN,I,,,,2024-12-29T05:20:00+00:00,2024-12-29T05:20:00+00:00,,,,,H1,H1,5889,H15889,H15889,t'way air,tw,twb,664,tw664,twb664,
29/12/2024,scheduled,,,Taiwan Taoyuan International (Chiang Kai Shek International),Asia/Taipei,TPE,RCTP,1,3,,2024-12-29T01:40:00+00:00,2024-12-29T01:40:00+00:00,,,,Daegu,Asia/Seoul,TAE,RKTN,I,,,,2024-12-29T05:00:00+00:00,2024-12-29T05:00:00+00:00,,,,Jin Air,LJ,JNA,756,LJ756,JNA756,,,,,,,
29/12/2024,scheduled,,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,1,Jan-39,,2024-12-29T03:15:00+00:00,2024-12-29T03:15:00+00:00,,,,Taiwan Taoyuan International (Chiang Kai Shek International),Asia/Taipei,TPE,RCTP,1,,3,,2024-12-29T05:25:00+00:00,2024-12-29T05:25:00+00:00,,,,Philippine Airlines,PR,PAL,3194,PR3194,PAL3194,china airlines,ci,cal,710,ci710,cal710,
29/12/2024,scheduled,,,"Athens International Airport ""Eleftherios Venizelos""",Europe/Athens,ATH,LGAV,M,A9,,2024-12-29T00:05:00+00:00,2024-12-29T00:05:00+00:00,,,,Bole International,Africa/Addis_Ababa,ADD,HAAB,2,,,,2024-12-29T06:20:00+00:00,2024-12-29T06:20:00+00:00,,,,Ethiopian Airlines,ET,ETH,765,ET765,ETH765,,,,,,,
